run_id,asset_id,object_name,layer_name,status,start_time_utc,end_time_utc,start_time_cst,end_time_cst,rows_loaded,load_type
C6EF142E-8B42-4D74-9249-FC9EF311140A,silver.slv_naive_forecast_monthly,ForecastHistory_ENH.NaiveForecastMonthly,DomainSilver,success,2026-05-04 08:25:57.073333,2026-05-04 08:26:16.053333,2026-05-04 03:25:57.073333,2026-05-04 03:26:16.053333,2048318,overwrite
22559D51-9395-48C9-8264-B79852C6FCA7,silver.slv_naive_forecast_monthly,ForecastHistory_ENH.NaiveForecastMonthly,DomainSilver,success,2026-05-04 08:20:54.930000,2026-05-04 08:22:19.346667,2026-05-04 03:20:54.930000,2026-05-04 03:22:19.346667,2048318,overwrite
DE225B01-D7D8-40AE-A2D5-DD2AE304EDE1,silver.slv_open_order_monthly,OpenOrderHistory_ENH.OpenOrderMonthly,DomainSilver,success,2026-05-04 08:20:51.823333,2026-05-04 08:20:56.700000,2026-05-04 03:20:51.823333,2026-05-04 03:20:56.700000,79473,overwrite
5124B3EB-0B49-4846-9280-4F7563F5C04A,silver.slv_invoice_weekly,SalesHistory_ENH.InvoiceWeekly,DomainSilver,success,2026-05-04 08:20:51.603333,2026-05-04 08:23:47.550000,2026-05-04 03:20:51.603333,2026-05-04 03:23:47.550000,37557568,overwrite
DDF32D39-5981-4835-B6FB-3B1D64E3E984,silver.slv_actual_demand_weekly,SalesHistory_ENH.ActualDemandWeekly,DomainSilver,success,2026-05-04 08:20:51.463333,2026-05-04 08:22:12.070000,2026-05-04 03:20:51.463333,2026-05-04 03:22:12.070000,7860101,overwrite
7C7E12E5-EB14-40F5-8909-3B3D52F50E34,silver.slv_actual_demand_monthly,SalesHistory_ENH.ActualDemandMonthly,DomainSilver,success,2026-05-04 08:20:51.413333,2026-05-04 08:21:56.876667,2026-05-04 03:20:51.413333,2026-05-04 03:21:56.876667,2651166,overwrite
A8E45FB5-2354-4A3C-B1D7-B7ECA183BA67,silver.slv_forecast_demand_monthly,ForecastHistory_ENH.ForecastDemandMonthly,DomainSilver,success,2026-05-04 08:15:43.023333,2026-05-04 08:18:27.020000,2026-05-04 03:15:43.023333,2026-05-04 03:18:27.020000,42406201,overwrite
B2D6E252-287B-40C4-9A87-5FF18611FF62,silver.slv_invoice_detail_line_level,SalesHistory_ENH.InvoiceDetailLineLevel,DomainSilver,success,2026-05-04 08:15:41.846667,2026-05-04 08:18:31.066667,2026-05-04 03:15:41.846667,2026-05-04 03:18:31.066667,88373617,overwrite
B712EEB5-A6E0-4680-9E2E-2089587ED6B9,silver.slv_open_order_line_level,OpenOrderHistory_ENH.OpenOrderLineLevel,DomainSilver,success,2026-05-04 08:15:41.623333,2026-05-04 08:16:30.560000,2026-05-04 03:15:41.623333,2026-05-04 03:16:30.560000,189644,overwrite
233EAB55-B2D5-4D1E-A7F6-15E1D151D554,silver.slv_invoice_weekly,SalesHistory_ENH.InvoiceWeekly,DomainSilver,success,2026-05-04 08:14:58.990000,2026-05-04 08:18:01.526667,2026-05-04 03:14:58.990000,2026-05-04 03:18:01.526667,37557568,overwrite
99848034-0859-49C8-9A38-BE10D93605CE,silver.slv_actual_demand_weekly,SalesHistory_ENH.ActualDemandWeekly,DomainSilver,success,2026-05-04 08:14:58.686667,2026-05-04 08:16:25.066667,2026-05-04 03:14:58.686667,2026-05-04 03:16:25.066667,7860151,overwrite
3B72C5D6-65C7-45C2-A018-B3961EB173EC,silver.slv_open_order_monthly,OpenOrderHistory_ENH.OpenOrderMonthly,DomainSilver,success,2026-05-04 08:14:58.560000,2026-05-04 08:15:03.130000,2026-05-04 03:14:58.560000,2026-05-04 03:15:03.130000,79515,overwrite
9762F617-0DC0-4988-A1FC-01453636081A,silver.slv_actual_demand_monthly,SalesHistory_ENH.ActualDemandMonthly,DomainSilver,success,2026-05-04 08:14:58.543333,2026-05-04 08:16:04.503333,2026-05-04 03:14:58.543333,2026-05-04 03:16:04.503333,2651203,overwrite
